OBJECTID,Request_ID,Create_Date,Department,Request_Type,Address,District,Status,Close_Date,Origin,Latitude,Longitude,Year,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
1707,319352,1611701520000,Sanitation Department,Missed Pick Up,2220 WINDSOR AVE,3.0,Closed,1615296420000.0,Call Center,32.3857348,-86.275471,2021,{783BD2AD-083D-41BA-8297-1D3FC0229531},,,,,519678.63655582815,686227.3658026531
1708,319353,1611714960000,Urban Forestry,Contract Tree Work-**Urban Forestry Use Only**,550 GREEN RIDGE RD,1.0,Closed,1652893500000.0,Website,32.3770546,-86.2569076,2021,{A88A1AF4-5CA9-44A8-964E-18074C38370C},,,,,525396.706156414,683046.2087791562
1709,319354,1611750960000,Traffic Engineering,Street Light Out,500 EASTERN BLVD,1.0,Closed,1611953700000.0,Website,32.3723716,-86.2102113,2021,{BC4D66CD-8A7D-4D80-8491-417123EAD65C},,,,,539807.335471578,681288.5525175706
1710,319355,1611753540000,Building Maintenance,COM Electrical,300 WATER ST,3.0,Closed,1611852060000.0,Call Center,32.3804356,-86.314103,2021,{4D97B25D-D661-4110-B8FB-2EB502F4D86E},,,,,507744.1469734125,684350.8885844871
1711,319356,1611753720000,Sanitation Department,Litter Problems for paper and Other Small Items (DO NOT USE FOR BULKY ITEMS),WELL RD,4.0,Closed,1612278300000.0,Call Center,32.34381,-86.403022,2021,{E5541DAB-4068-443E-9A85-886EC2891F8F},,,,,480221.9228184968,671160.7089281529
1712,319357,1611753900000,FAQ,FAQ- Montgomery Police Department,,,Closed,1611753900000.0,Call Center,0.0,0.0,2021,{DC651996-3817-43D9-9911-5EB690A0DEC6},,,,,NaN,NaN
1713,319358,1611754800000,Building Maintenance,Fire Electrical,2710 LAGOON PARK DR,2.0,Closed,1611766200000.0,Call Center,32.3997332,-86.2251794,2021,{6A206468-7577-4B44-B9C4-C7E5733A0713},,,,,535222.4384734109,691259.6434677392
1714,319359,1611754800000,Street Maintenance,Request Cleaning,2036 ELLEN ST,7.0,Closed,1612883880000.0,Call Center,32.3527664,-86.2968025,2021,{B2A435D2-4F21-4B42-A53C-EE4F74373A56},,,,,513041.591102913,674260.9090925753
1715,319360,1611755160000,Sanitation Department,Leaves and Debris Pick up,3011 BALDWIN BROOK DR,6.0,Closed,1617630420000.0,Call Center,32.315496,-86.2504008,2021,{DF5F4232-CD24-4786-AD69-C9C1E677362F},,,,,527318.3397803307,660642.6410535723
1716,319361,1611755700000,Building Maintenance,Fire Plumbing,2710 LAGOON PARK DR,2.0,Closed,1611768900000.0,Call Center,32.3997332,-86.2251794,2021,{EC23D2D7-0561-4DB4-B1F0-9F61BDFBAFEA},,,,,535222.4384734109,691259.6434677392
